Book,Book Theme,Extra Notes,Epigraph Author,Epigraph
Born in Shame,Romance,uppercase author,"""IRISH BALLAND""","""I know my love by his way of walking and I Know my love by his way of talking"""
Born in Fire,Romance,,"""nineteenth-century Irish balland""","""I never will marry, I'll be no man's wife. I intend to stay single for the rest of my life."""
Born in Fire,Romance,,"""The Wild Rover""","""I've been a wild rover for many the year"""
Born in Fire,Romance,,"""The Black Velvet Band""","""Her eyes they shone like diamonds, you'd think she was queen of the land."""
Tears of the Moon,Thriller,"uppercase author, italicized","""IRISH PUB SONG""","""Ah, kiss me, love, and miss me, love, and dry your bitter tears."""
Tears of the Moon,Thriller,"uppercase author, italicized","""W. B. YEATS"" ","""Come away! O, human child! To the woods and waters wild, Witih a fairy hand in hand, For the world's more full of weeping than you can understand."""
Mind Games,Thriller,2 part epigraph,"""Proverbs 27:4""","""Wrath is cruel, and anger is outrageous, but who is able to stand before envy?"""
Mind Games,Thriller,2 part epigraph,"""William Shakespeare""","""Give sorrow words: the grief that does not speak Whispers the o'er-fraught heart and bids it break."""
Mind Games,Thriller,2 part epigraph,"""Henry James""","""Live all you can, it's a mistake not to."""
Mind Games,Thriller,2 part epigraph,"""Edgar Allan Poe""","""Deep into that darkness peering, long I stood there, wondering, fearing, Doubting, dreaming dreams no mortal ever dared to dream before."""
Mind Games,Thriller,2 part epigraph,"""Sir Thomas Browne""","""To believe only possibilities is not faith, but mere philosophy."""
Mind Games,Thriller,2 part epigraph,"""James Graham""","""He either fears his fate too much, Or his desets are small, That puts it not unto the touch, To win or lose it all."""
Divine Evil,Thriller,"2 part epigraph, italicized","""Alexander Pope""","""Men would be angels, angels would be gods."""
Divine Evil,Thriller,"2 part epigraph, italicized","""Shakespeare""","""What's past is prologue"""
Divine Evil,Thriller,italicized,"""The Book of Job""","""And the Lord said to Satan, 'Whence do you come?' Then Satan answered the Lord and said, 'From roaming the earth and patrolling it.'"""
Divine Evil,Thriller,italicized,"""Revelatioin""","""He who has understanding, let him calculate the number of the beast, for it is the number of a man."""
Sweet Revenge,Thriller,"2 part epigraph, italicized","""The Koran""","""Women are your fields. Go, then, into your fields as you please."""
Sweet Revenge,Thriller,"2 part epigraph, italicized","""Frankie and Johnny""","""He was her man, but he done her wrong."""
Sweet Revenge,Thriller,"2 part epigraph, italicized","""Homer""","""Himself a shadow, hunting shadows."""
Sweet Revenge,Thriller,"2 part epigraph, italicized","""Thomas Fuller""","""Always set a thief to catch a thief."""
Sweet Revenge,Thriller,"2 part epigraph, italicized","""Lord Byron""","""Soon or late love is his own avenger."""
Sweet Revenge,Thriller,"2 part epigraph, italicized","""Shakespeare""","""The bitter past, more welcome is the sweet."""
Naked in Death,Romance,"2 part epigraph, italicized, uppercase author","""WILLIAM SHAKESPEARE""",“What's past is prologue.”
Naked in Death,Crime,"2 part epigraph, italicized, uppercase author",“RAP (HUBERT GEROLD) BROWN”,“Violence is as American as cherry pie.”
Ceremony in Death,Crime,"2 part epigraph, italicized","""Shakespeare""","“There are more things in heaven and earth, Horatio, Than are dreamt of in your philosophy.”"
