Word,Total_Count,Romance,Thriller,Crime,Fantasy
"""i",3,2,0,0,1
know,3,2,1,0,0
my,6,4,0,0,2
love,5,3,1,0,1
by,3,2,0,0,1
his,6,2,3,1,0
way,2,2,0,0,0
of,17,5,5,3,4
walking,1,1,0,0,0
and,22,2,8,5,7
i,5,2,1,0,2
"talking""",1,1,0,0,0
never,1,1,0,0,0
will,2,1,0,0,1
"marry,",1,1,0,0,0
i'll,1,1,0,0,0
be,6,2,2,2,0
no,3,1,1,0,1
man's,1,1,0,0,0
wife.,1,1,0,0,0
intend,1,1,0,0,0
to,28,3,6,4,15
stay,1,1,0,0,0
single,1,1,0,0,0
for,6,2,2,1,1
the,42,7,14,6,15
rest,1,1,0,0,0
"life.""",1,1,0,0,0
"""i've",1,1,0,0,0
been,1,1,0,0,0
a,15,4,6,3,2
wild,1,1,0,0,0
rover,1,1,0,0,0
many,1,1,0,0,0
"year""",1,1,0,0,0
"""her",1,1,0,0,0
eyes,1,1,0,0,0
they,3,3,0,0,0
shone,1,1,0,0,0
like,1,1,0,0,0
"diamonds,",1,1,0,0,0
you'd,1,1,0,0,0
think,2,1,0,1,0
she,1,1,0,0,0
was,2,1,1,0,0
queen,1,1,0,0,0
"land.""",1,1,0,0,0
"""ah,",1,0,1,0,0
kiss,2,0,1,0,1
"me,",2,0,2,0,0
"love,",2,0,2,0,0
miss,1,0,1,0,0
dry,1,0,1,0,0
your,4,0,3,1,0
bitter,2,0,2,0,0
"tears.""",1,0,1,0,0
"""come",1,0,1,0,0
away!,1,0,1,0,0
"o,",1,0,1,0,0
human,2,0,1,0,1
child!,1,0,1,0,0
woods,1,0,1,0,0
waters,1,0,1,0,0
"wild,",1,0,1,0,0
witih,1,0,1,0,0
fairy,1,0,1,0,0
hand,1,0,1,0,0
in,10,1,3,5,1
"hand,",1,0,1,0,0
world's,1,0,1,0,0
more,3,0,2,1,0
full,1,0,1,0,0
weeping,1,0,1,0,0
than,4,1,1,2,0
you,4,0,4,0,0
can,2,0,1,1,0
"understand.""",1,0,1,0,0
"""wrath",1,0,1,0,0
is,20,2,8,4,6
"cruel,",1,0,1,0,0
anger,1,0,1,0,0
"outrageous,",1,0,1,0,0
but,10,0,3,3,4
who,2,0,2,0,0
able,1,0,1,0,0
stand,1,0,1,0,0
before,2,0,1,1,0
"envy?""",1,0,1,0,0
"""give",1,0,1,0,0
sorrow,1,0,1,0,0
words:,1,0,1,0,0
grief,1,0,1,0,0
that,8,3,3,1,1
does,1,0,1,0,0
not,8,0,4,1,3
speak,2,0,1,0,1
whispers,1,0,1,0,0
o'er-fraught,1,0,1,0,0
heart,1,0,1,0,0
bids,1,0,1,0,0
it,7,1,4,0,2
"break.""",1,0,1,0,0
"""live",1,0,1,0,0
all,2,0,1,1,0
"can,",1,0,1,0,0
it's,1,0,1,0,0
mistake,1,0,1,0,0
"to.""",1,0,1,0,0
"""deep",1,0,1,0,0
into,2,0,2,0,0
darkness,2,0,1,0,1
"peering,",1,0,1,0,0
long,2,0,1,0,1
stood,1,0,1,0,0
"there,",1,0,1,0,0
"wondering,",1,0,1,0,0
"fearing,",1,0,1,0,0
"doubting,",1,0,1,0,0
dreaming,1,0,1,0,0
dreams,1,0,1,0,0
mortal,2,0,1,1,0
ever,1,0,1,0,0
dared,1,0,1,0,0
dream,1,0,1,0,0
"before.""",1,0,1,0,0
"""to",1,0,1,0,0
believe,1,0,1,0,0
only,2,1,1,0,0
possibilities,1,0,1,0,0
"faith,",1,0,1,0,0
mere,1,0,1,0,0
"philosophy.""",1,0,1,0,0
"""he",3,0,3,0,0
either,1,0,1,0,0
fears,1,0,1,0,0
fate,1,0,1,0,0
too,1,0,1,0,0
"much,",1,0,1,0,0
or,4,0,3,1,0
desets,1,0,1,0,0
are,8,0,2,3,3
"small,",1,0,1,0,0
puts,1,0,1,0,0
unto,1,0,1,0,0
"touch,",1,0,1,0,0
win,1,0,1,0,0
lose,1,0,1,0,0
"all.""",2,1,1,0,0
"""men",1,0,1,0,0
